"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,0.610526315789474,102.547368421053,0.389473684210526,1578.45263157895,0.610526315789474,0.00591836734693878,0.00591836734693878,0.00024668311220748
"2",3,2.25263157894737,100.905263157895,0.747368421052632,1578.09473684211,0.750877192982456,0.0218367346938775,0.0218367346938775,0.000473364890992733
"3",5,4.07368421052632,99.0842105263158,0.926315789473684,1577.91578947368,0.814736842105263,0.0394897959183673,0.0394897959183673,0.000586705780385359
"4",10,8.54736842105263,94.6105263157895,1.45263157894737,1577.38947368421,0.854736842105263,0.0828571428571429,0.0828571428571429,0.000920061337422495
"5",15,12.7789473684211,90.3789473684211,2.22105263157895,1576.62105263158,0.851929824561404,0.123877551020408,0.123877551020408,0.00140676045069671
"6",20,16.7368421052632,86.4210526315789,3.26315789473684,1575.57894736842,0.836842105263158,0.162244897959184,0.162244897959184,0.00206680445363024
