"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,0.505263157894737,102.652631578947,0.494736842105263,1578.34736842105,0.505263157894737,0.00489795918367347,0.00489795918367347,0.000313354223614908
"2",3,1.43157894736842,101.726315789474,1.56842105263158,1577.27368421053,0.47719298245614,0.0138775510204082,0.0138775510204082,0.000993399559970665
"3",5,2.33684210526316,100.821052631579,2.66315789473684,1576.17894736842,0.467368421052632,0.0226530612244898,0.0226530612244898,0.00168677911860791
"4",10,4.71578947368421,98.4421052631579,5.28421052631579,1573.55789473684,0.471578947368421,0.0457142857142857,0.0457142857142857,0.00334688979265284
"5",15,6.91578947368421,96.2421052631579,8.08421052631579,1570.75789473684,0.461052631578947,0.0670408163265306,0.0670408163265306,0.00512034135609041
"6",20,9.06315789473684,94.0947368421053,10.9368421052632,1567.90526315789,0.453157894736842,0.0878571428571428,0.0878571428571428,0.00692712847523168
