"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,0.968421052631579,102.189473684211,0.0315789473684211,1578.81052631579,0.968421052631579,0.00938775510204082,0.00938775510204082,2.00013334222281e-05
"2",3,2.94736842105263,100.210526315789,0.0526315789473684,1578.78947368421,0.982456140350877,0.0285714285714286,0.0285714285714286,3.33355557037136e-05
"3",5,4.90526315789474,98.2526315789474,0.0947368421052632,1578.74736842105,0.981052631578947,0.0475510204081633,0.0475510204081633,6.00040002666844e-05
"4",10,9.76842105263158,93.3894736842105,0.231578947368421,1578.61052631579,0.976842105263158,0.0946938775510204,0.0946938775510204,0.00014667644509634
"5",15,14.2315789473684,88.9263157894737,0.768421052631579,1578.07368421053,0.948771929824561,0.137959183673469,0.137959183673469,0.000486699113274218
"6",20,18.5052631578947,84.6526315789474,1.49473684210526,1577.34736842105,0.925263157894737,0.179387755102041,0.179387755102041,0.000946729781985466
