"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,0.4,102.757894736842,0.6,1578.24210526316,0.4,0.00387755102040816,0.00387755102040816,0.000380025335022335
"2",3,1.29473684210526,101.863157894737,1.70526315789474,1577.13684210526,0.431578947368421,0.0125510204081633,0.0125510204081633,0.00108007200480032
"3",5,2.29473684210526,100.863157894737,2.70526315789474,1576.13684210526,0.458947368421053,0.0222448979591837,0.0222448979591837,0.00171344756317088
"4",10,4.96842105263158,98.1894736842105,5.03157894736842,1573.81052631579,0.496842105263158,0.0481632653061225,0.0481632653061225,0.00318687912527502
"5",15,7.58947368421053,95.5684210526316,7.41052631578947,1571.43157894737,0.505964912280702,0.0735714285714286,0.0735714285714286,0.00469364624308287
"6",20,10.1263157894737,93.0315789473684,9.87368421052632,1568.96842105263,0.506315789473684,0.0981632653061225,0.0981632653061225,0.00625375025001667
