"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,0.442105263157895,102.715789473684,0.557894736842105,1578.28421052632,0.442105263157895,0.00428571428571429,0.00428571428571429,0.000353356890459364
"2",3,1.41052631578947,101.747368421053,1.58947368421053,1577.25263157895,0.470175438596491,0.0136734693877551,0.0136734693877551,0.00100673378225215
"3",5,2.41052631578947,100.747368421053,2.58947368421053,1576.25263157895,0.482105263157895,0.0233673469387755,0.0233673469387755,0.00164010934062271
"4",10,4.91578947368421,98.2421052631579,5.08421052631579,1573.75789473684,0.491578947368421,0.0476530612244898,0.0476530612244898,0.00322021468097873
"5",15,7.32631578947368,95.8315789473684,7.67368421052632,1571.16842105263,0.488421052631579,0.0710204081632653,0.0710204081632653,0.00486032402160144
"6",20,9.53684210526316,93.6210526315789,10.4631578947368,1568.37894736842,0.476842105263158,0.0924489795918367,0.0924489795918367,0.00662710847389826
