"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,0.368421052631579,102.789473684211,0.631578947368421,1578.21052631579,0.368421052631579,0.00357142857142857,0.00357142857142857,0.000400026668444563
"2",3,1.36842105263158,101.789473684211,1.63157894736842,1577.21052631579,0.456140350877193,0.013265306122449,0.013265306122449,0.00103340222681512
"3",5,2.49473684210526,100.663157894737,2.50526315789474,1576.33684210526,0.498947368421053,0.0241836734693878,0.0241836734693878,0.00158677245149677
"4",10,5.34736842105263,97.8105263157895,4.65263157894737,1574.18947368421,0.534736842105263,0.0518367346938775,0.0518367346938775,0.00294686312420828
"5",15,8.57894736842105,94.5789473684211,6.42105263157895,1572.42105263158,0.571929824561404,0.0831632653061224,0.0831632653061224,0.00406693779585306
"6",20,11.6526315789474,91.5052631578947,8.34736842105263,1570.49473684211,0.582631578947368,0.112959183673469,0.112959183673469,0.00528701913460897
