"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,1,102.157894736842,0,1578.84210526316,1,0.00969387755102041,0.00969387755102041,0
"2",3,2.96842105263158,100.189473684211,0.0315789473684211,1578.81052631579,0.989473684210526,0.0287755102040816,0.0287755102040816,2.00013334222281e-05
"3",5,4.95789473684211,98.2,0.0421052631578947,1578.8,0.991578947368421,0.0480612244897959,0.0480612244897959,2.66684445629709e-05
"4",10,9.67368421052632,93.4842105263158,0.326315789473684,1578.51578947368,0.967368421052632,0.0937755102040816,0.0937755102040816,0.000206680445363024
"5",15,14.3157894736842,88.8421052631579,0.684210526315789,1578.15789473684,0.954385964912281,0.138775510204082,0.138775510204082,0.000433362224148277
"6",20,18.4315789473684,84.7263157894737,1.56842105263158,1577.27368421053,0.921578947368421,0.178673469387755,0.178673469387755,0.000993399559970665
