"","TopN","TP","FN","FP","TN","Precision","Recall","TPR","FPR"
"1",1,0.91578947368421,102.242105263158,0.0842105263157895,1578.75789473684,0.91578947368421,0.00887755102040816,0.00887755102040816,5.33368891259417e-05
"2",3,2.87368421052632,100.284210526316,0.126315789473684,1578.71578947368,0.957894736842105,0.0278571428571429,0.0278571428571429,8.00053336889126e-05
"3",5,4.81052631578947,98.3473684210526,0.189473684210526,1578.65263157895,0.962105263157895,0.0466326530612245,0.0466326530612245,0.000120008000533369
"4",10,9.63157894736842,93.5263157894737,0.368421052631579,1578.47368421053,0.963157894736842,0.0933673469387755,0.0933673469387755,0.000233348889925995
"5",15,14.1052631578947,89.0526315789474,0.894736842105263,1577.94736842105,0.940350877192982,0.136734693877551,0.136734693877551,0.000566704446963131
"6",20,18.2210526315789,84.9368421052632,1.77894736842105,1577.06315789474,0.911052631578947,0.176632653061224,0.176632653061224,0.00112674178278552
